,frequency,bigram,textblob-sentiment,textblob-sentiment-analysis,vader-sentiment,vader-sentiment-analysis
0,1729,customer service,0.0,Neutral,0.0,Neutral
1,1072,delta variant,0.0,Neutral,0.0,Neutral
2,679,hold hours,0.0,Neutral,0.0,Neutral
3,545,first class,0.25,Positivo,0.0,Neutral
4,478,need help,0.0,Neutral,0.4019,Positivo
5,470,ive hold,0.0,Neutral,0.0,Neutral
6,469,wait time,0.0,Neutral,0.0,Neutral
7,455,change flight,0.0,Neutral,0.0,Neutral
8,455,call back,0.0,Neutral,0.0,Neutral
9,436,air lines,0.0,Neutral,0.0,Neutral
10,394,please help,0.0,Neutral,0.6124,Positivo
11,390,delta air,0.0,Neutral,0.0,Neutral
12,377,flight attendant,0.2,Positivo,0.0,Neutral
13,359,flight attendants,0.0,Neutral,0.0,Neutral
14,335,fly delta,0.8,Positivo,0.0,Neutral
15,310,hold time,0.0,Neutral,0.0,Neutral
16,297,hours hold,0.0,Neutral,0.0,Neutral
17,292,flight delayed,0.0,Neutral,-0.2263,Negativo
18,281,trying get,0.0,Neutral,0.0,Neutral
19,276,unvaccinated employees,0.0,Neutral,0.0,Neutral
20,276,two hours,0.0,Neutral,0.0,Neutral
21,254,employees vaccinated,0.0,Neutral,0.0,Neutral
22,250,get vaccinated,0.0,Neutral,0.0,Neutral
23,240,cant get,0.0,Neutral,0.0,Neutral
24,239,hour wait,0.0,Neutral,0.0,Neutral
