,frequency,bigram,textblob-sentiment,textblob-sentiment-analysis,vader-sentiment,vader-sentiment-analysis
0,825,flight attendant,0.2,Positivo,0.0,Neutral
1,758,away heading,0.0,Neutral,0.0,Neutral
2,719,customer service,0.0,Neutral,0.0,Neutral
3,713,boeing ng,0.0,Neutral,0.0,Neutral
4,433,flight attendants,0.0,Neutral,0.0,Neutral
5,341,flight delayed,0.0,Neutral,-0.2263,Negativo
6,283,cancelled flight,0.0,Neutral,-0.25,Negativo
7,281,heading mih,0.0,Neutral,0.0,Neutral
8,261,ng hw,0.0,Neutral,0.0,Neutral
9,261,hw away,0.0,Neutral,0.0,Neutral
10,259,fully vaccinated,0.0,Neutral,0.0,Neutral
11,231,companion pass,0.0,Neutral,0.0,Neutral
12,209,canceled flight,0.0,Neutral,0.0,Neutral
13,193,flight cancelled,0.0,Neutral,-0.25,Negativo
14,190,require employees,0.0,Neutral,0.0,Neutral
15,188,get vaccinated,0.0,Neutral,0.0,Neutral
16,185,employees get,0.0,Neutral,0.0,Neutral
17,184,employees vaccinated,0.0,Neutral,0.0,Neutral
18,181,cancel flight,0.0,Neutral,-0.25,Negativo
19,179,first time,0.25,Positivo,0.0,Neutral
20,178,las vegas,0.0,Neutral,0.0,Neutral
21,175,travel funds,0.0,Neutral,0.0,Neutral
22,174,looks like,0.0,Neutral,0.3612,Positivo
23,164,heading sw,0.0,Neutral,0.0,Neutral
24,163,ng away,0.0,Neutral,0.0,Neutral
