,frequency,bigram,textblob-sentiment,textblob-sentiment-analysis,vader-sentiment,vader-sentiment-analysis
0,679,customer service,0.0,Neutral,0.0,Neutral
1,545,cheap flights,0.4,Positivo,0.0,Neutral
2,537,us cheap,0.4,Positivo,0.0,Neutral
3,423,get vaccinated,0.0,Neutral,0.0,Neutral
4,405,vaccine mandate,0.0,Neutral,0.0,Neutral
5,394,employees vaccinated,0.0,Neutral,0.0,Neutral
6,326,united states,0.0,Neutral,0.4215,Positivo
7,325,us employees,0.0,Neutral,0.0,Neutral
8,320,employees get,0.0,Neutral,0.0,Neutral
9,317,flight attendants,0.0,Neutral,0.0,Neutral
10,287,covid vaccine,0.0,Neutral,0.0,Neutral
11,232,roundtrip travel,0.0,Neutral,0.0,Neutral
12,227,flight attendant,0.2,Positivo,0.0,Neutral
13,213,first class,0.25,Positivo,0.0,Neutral
14,211,fly united,0.8,Positivo,0.4215,Positivo
15,205,scott kirby,0.0,Neutral,0.0,Neutral
16,204,require employees,0.0,Neutral,0.0,Neutral
17,201,new york,0.13636363636363635,Positivo,0.0,Neutral
18,194,require us,0.0,Neutral,0.0,Neutral
19,190,never fly,-0.4,Negativo,0.0,Neutral
20,188,duct tape,0.0,Neutral,0.0,Neutral
21,185,vaccine mandates,0.0,Neutral,0.0,Neutral
22,178,flight delayed,0.0,Neutral,-0.2263,Negativo
23,173,vaccinated covid,0.0,Neutral,0.0,Neutral
24,164,san francisco,0.0,Neutral,0.0,Neutral
